word	sound
ladder	ˈlædə
Encyclopedia	ɪnˌsaɪkləˈpiːdɪə
inherent	ɪnˈher(ə)nt
contestants	kənˈtestənts
warns	wɔːnz
ballet	ˈbæleɪ
dot	dɒt
stole	stəʊl
Italians	ɪˈtæljənz
autism	ˈɔːtˌɪzəm
spamming	ˈspæmɪŋ
sentencing	ˈsentənsɪŋ
LGBT	lɡbt
warn	wɔːn
overtime	ˈəʊvətaɪm
Manila	məˈnɪlə
curiosity	ˌkjʊərɪˈɒsɪtɪ
tablet	ˈtæblɪt
pioneer	ˌpaɪəˈnɪə
USS	ˌjuːˌesˈes
Pages	ˈpeɪdʒɪz
suburban	səˈbɜːb(ə)n
dig	dɪɡ
Issue	ˈɪʃuː
pizza	ˈpiːtsə
gases	ˈɡæsɪz
strengths	streŋθs
fort	fɔːt
Randy	ˈrændɪ
uncovered	ʌnˈkʌvəd
lane	leɪn
injection	ɪnˈdʒekʃ(ə)n
molecule	ˈmɒlɪkjuːl
webpage	ˈwebpeɪdʒ
pleasant	pleznt
refugee	ˌrefju(ː)ˈdʒiː
Burton	ˈbɜːt(ə)n
assassination	əˌsæsɪˈneɪʃ(ə)n
switched	swɪtʃt
RBS	bz
satisfying	ˈsætɪsfaɪɪŋ
exceeded	ɪkˈsiːdɪd
lowered	ˈləʊəd
minus	ˈmaɪnəs
Sep	sep
fitted	ˈfɪtɪd
ecological	ˌiːkəˈlɒdʒɪk(ə)l
souls	səʊlz
Authorities	ɔːˈθɒrətɪz
conceived	kənˈsiːvd
snake	sneɪk
Albany	ˈɔːlbənɪ
resumed	rɪˈzjuːmd
essence	ˈes(ə)ns
subscription	səbˈskrɪpʃ(ə)n
portable	ˈpɔːtəb(ə)l
premature	ˈpremətjʊə
WA	wɑː
insights	ˈɪnsaɪts
tapes	teɪps
eventual	ɪˈventʃʊəl
acceleration	əkˌseləˈreɪʃ(ə)n
exhibited	ɪɡˈzɪbɪtɪd
Silva	ˈsɪlvə
Norton	ˈnɔːt(ə)n
kiss	kɪs
Deep	diːp
colored	ˈkʌləd
Hayes	heɪz
servant	ˈsɜːv(ə)nt
Southeast	saʊθˈiːst
Soon	suːn
validity	vəˈlɪdɪtɪ
Economy	ɪˈkɒnəmɪ
speculative	ˈspekjʊlətɪv
prizes	ˈpraɪzɪz
Antarctica	ˌænˈtɑːktɪkə
Producer	prəˈdjuːsə
Marvel	ˈmɑːv(ə)l
Joy	dʒɔɪ
drain	dreɪn
builds	bɪldz
Africans	ˈæfrɪkənz
Laws	lɔːz
earthquakes	ˈɜːθkweɪks
modes	məʊdz
paradigm	ˈpærədaɪm
Materialscientist	məˈtɪ(ə)rɪəlskaɪəntɪst
biodiversity	ˌbaɪəʊdaɪˈvɜːsətɪ
Complex	ˈkɒmpleks
Estate	ɪˈsteɪt
plug	plʌɡ
Socialist	ˈsəʊʃəlɪst
Ghost	ɡəʊst
integrating	ˈɪntɪɡreɪtɪŋ
Ah	ɑː
extinction	ɪkˈstɪŋkʃ(ə)n
Publications	ˌpʌblɪˈkeɪʃ(ə)nz
Hopkins	ˈhɑːpˌkɪnz
USSR	ˌjuːˌesˌesˈɑː
regulate	ˈreɡjʊleɪt
commissions	kəˈmɪʃ(ə)nz
graphs	ɡrɑːfs
ceremonies	ˈserɪmənɪz
Coleman	ˈkɒlmən
airplane	ˈeəpleɪn
weakened	ˈwiːkənd
burial	ˈberɪəl
accessed	ˈæksest
competitor	kəmˈpetɪtə
depend	dɪˈpend
Edge	edʒ
cm	ˌsiːˈem
pipes	paɪps
ruin	ˈruːɪn
Emergency	ɪˈmɜːdʒ(ə)nsɪ
bullshit	ˈbʊlʃɪt
AA	ˌeɪˈeɪ
Horse	hɔːs
Doctors	ˈdɒktəz
grabbed	ɡræbd
temples	ˈtemp(ə)lz
Shadow	ˈʃædəʊ
pesticides	ˈpestɪsaɪdz
assert	əˈsɜːt
quantitative	ˈkwɒntɪtətɪv
potatoes	pəˈteɪtəʊz
Compare	kəmˈpeə
Database	ˈdeɪtəbeɪs
namespace	nəˌmˈspeɪs
imprisoned	ɪmˈprɪz(ə)nd
sorting	ˈsɔːtɪŋ
laying	ˈleɪɪŋ
Mall	mɔːl
competed	kəmˈpiːtɪd
descriptive	dɪˈskrɪptɪv
squadron	ˈskwɒdr(ə)n
shoppers	ˈʃɒpəz
counterpart	ˈkaʊntəpɑːt
bell	bel
composers	kəmˈpəʊzəz
railways	ˈreɪlweɪz
Homer	ˈhɒmə
risky	ˈrɪskɪ
courtesy	ˈkɜːtəsɪ
Nobel	nəʊˈbel
Artists	ˈɑːtɪsts
GPS	ɡps
sauce	sɔːs
pastor	ˈpɑːstə
understandable	ˌʌndəˈstændəb(ə)l
Webb	web
Malaysian	məˈleɪzɪən
diplomat	ˈdɪpləmæt
altitude	ˈæltɪtjuːd
voltage	ˈvəʊltɪdʒ
employs	ɪmˈplɔɪz
loyal	ˈlɔɪəl
sexy	ˈseksɪ
Halifax	ˈhælɪfæks
soup	suːp
treasure	ˈtreʒə
Noah	ˈnəʊə
thoughtful	ˈθɔːtfəl
imagined	ɪˈmædʒɪnd
paste	peɪst
Admiral	ˈædm(ə)r(ə)l
sinking	ˈsɪŋkɪŋ
proxy	ˈprɒksɪ
cheating	ˈtʃiːtɪŋ
punk	pʌŋk
tactical	ˈtæktɪk(ə)l
Alternative	ɔːlˈtɜːnətɪv
ancestors	ˈænsestəz
strengthened	ˈstreŋθ(ə)nd
launches	ˈlɔːntʃɪz
Except	ɪkˈsept
merchandise	ˈmɜːtʃəndaɪz
q	kjuː
Assessment	əˈsesmənt
unified	ˈjuːnɪfaɪd
sketch	sketʃ
WWE	wɪ
unwanted	ʌnˈwɒntɪd
bust	bʌst
appreciation	əˌpriːʃɪˈeɪʃ(ə)n
offended	əˈfendɪd
dissent	dɪˈsent
renovation	ˌrenəˈveɪʃ(ə)n
Simple	ˈsɪmp(ə)l
watershed	ˈwɔːtəʃed
fifty	ˈfɪftɪ
translator	trænzˈleɪtə
generator	ˈdjen(ə)reɪtə
Notable	ˈnəʊtəb(ə)l
listeners	ˈlɪsnəz
casino	kəˈsiːnəʊ
thermal	ˈθɜːm(ə)l
hung	hʌŋ
Tibetan	tɪˈbet(ə)n
bosses	ˈbɒsɪz
indirect	ˌɪndɪˈrekt
Sacramento	ˌsækrəˈmentəʊ
oriented	ˈɔːrɪəntɪd
varies	ˈveərɪz
Face	feɪs
passionate	ˈpæʃənət
civic	ˈsɪvɪk
anonymity	ˌænəˈnɪmətɪ
honey	ˈhʌnɪ
athletic	æθˈletɪk
embraced	ɪmˈbreɪst
demonstrators	ˈdemənstreɪtəz
fundamentally	ˌfʌndəˈmentəlɪ
Parks	pɑːks
Fleet	fliːt
verses	ˈvɜːsɪz
Pentagon	ˈpentəɡən
drill	drɪl
GE	ɡə
forgot	fəˈɡɒt
Tourism	ˈtʊərɪzəm
wilderness	ˈwɪldənəs
Bass	beɪs
pan	pæn
junction	ˈdʒʌŋkʃ(ə)n
execute	ˈeksɪkjuːt
carpet	ˈkɑːpɪt
Lodge	lɒdʒ
fascist	ˈfæʃɪst
filmmaker	ˈfɪlˌmeɪkə
RM	ˌɑːˈrem
Notice	ˈnəʊtɪs
Families	ˈfæməlɪz
rapper	ˈræpə
Territory	ˈterɪt(ə)rɪ
Mercedes	məˈseɪdɪz
pets	pets
selfish	ˈselfɪʃ
librarians	laɪˈbreərɪənz
ruined	ˈruːɪnd
Pearl	pɜːl
Rush	rʌʃ
gentle	ˈdʒent(ə)l
contempt	kənˈtempt
twisted	ˈtwɪstɪd
galaxy	ˈɡæləksɪ
Tell	tel
restrict	rɪˈstrɪkt
Experience	ɪkˈspɪərɪəns
clue	kluː
onwards	ˈɒnwədz
reductions	rɪˈdʌkʃ(ə)nz
sponsorship	ˈspɒnsəʃɪp
Cash	kæʃ
proprietary	prəˈpraɪət(ə)rɪ
departed	dɪˈpɑːtɪd
inspectors	ɪnˈspektəz
Auckland	ˈɔːklənd
Introduction	ˌɪntrəˈdʌkʃ(ə)n
BA	ˌbiːˈeɪ
insurers	ɪnˈʃʊərəz
misunderstood	ˌmɪsˌʌndəˈstʊd
Target	ˈtɑːɡɪt
ft	fiːt
synthetic	sɪnˈθetɪk
binary	ˈbaɪnərɪ
procurement	prəˈkjʊəmənt
homeland	ˈhəʊmlænd
Peterson	ˈpiːtəsən
Dell	del
labeling	ˈleɪbəlɪŋ
tomb	tuːm
incomes	ˈɪŋkʌmz
lasted	ˈlɑːstɪd
Vision	ˈvɪʒ(ə)n
plausible	ˈplɔːzəb(ə)l
urine	ˈjʊərɪn
harmony	ˈhɑːmənɪ
systematically	ˌsɪstəˈmætɪk(ə)lɪ
drafting	ˈdrɑːftɪŋ
archaeology	ˌɑːkɪˈɒlədʒɪ
Sebastian	səˈbæstʃən
vaccines	ˈvæksiːnz
Stan	stæn
respects	rɪˈspekts
Baptist	ˈbæptɪst
confrontation	ˌkɒnfrʌnˈteɪʃ(ə)n
ruins	ˈruːɪnz
Am	æm
equals	ˈiːkwəlz
Events	ɪˈvents
Infobox	ˈɪnfəʊbɒks
pause	pɔːz
Tampa	ˈtæmpə
tackling	ˈtæk(ə)lɪŋ
pools	puːlz
tsunami	tsuːˈnɑːmɪ
revival	rɪˈvaɪv(ə)l
trapped	træpt
Usually	ˈjuːʒəlɪ
dull	dʌl
supervisors	ˈsuːpəvaɪzəz
documenting	ˈdɒkjʊmentɪŋ
contests	kənˈtests
treaties	ˈtriːtɪz
Riley	ˈraɪlɪ
jailed	dʒeɪld
analytical	ˌænəˈlɪtɪk(ə)l
branded	ˈbrændɪd
statutes	ˈstætʃuːts
persuaded	pəˈsweɪdɪd
installations	ˌɪnstəˈleɪʃ(ə)nz
Patricia	pəˈtrɪʃə
Drew	druː
Dad	dæd
slaughter	ˈslɔːtə
linguistics	lɪŋˈɡwɪstɪks
Find	faɪnd
ITV	ˌaɪˌtiːˈviː
Ridge	rɪdʒ
pianist	ˈpiːənɪst
generals	ˈdʒen(ə)rəlz
Beck	bek
correlation	ˌkɒrəˈleɪʃ(ə)n
Allah	ˈælə
sunlight	ˈsʌnlaɪt
apparatus	ˌæpəˈreɪtəs
lovers	ˈlʌvəz
unstable	ʌnˈsteɪb(ə)l
Cardinals	ˈkɑːdɪn(ə)lz
Sweet	swiːt
folder	ˈfəʊldə
fixes	ˈfɪksɪz
welcoming	ˈwelkəmɪŋ
freezing	ˈfriːzɪŋ
Associated	əˈsəʊʃɪeɪtɪd
cow	kaʊ
promotions	prəˈməʊʃ(ə)nz
applicant	ˈæplɪkənt
Kane	keɪn
Buddha	ˈbuːdə
Half	hɑːf
semantics	sɪˈmæntɪks
landscapes	ˈlændskeɪps
testified	ˈtestɪfaɪd
frontier	ˈfrʌntɪə
salvation	sælˈveɪʃ(ə)n
Calgary	ˈkælɡərɪ
strangers	ˈstreɪndʒəz
Jackie	ˈdʒækɪ
dining	ˈdaɪnɪŋ
CDC	kdk
SR	ˈsɪstə
extinct	ɪkˈstɪŋt
Crystal	ˈkrɪst(ə)l
harbor	ˈhɑːbə
discoveries	dɪˈskʌvərɪz
diamond	ˈdaɪəmənd
homeowners	ˈhəʊməʊnəz
Jew	dʒuː
comparative	kəmˈpærətɪv
hostility	hɒˈstɪlɪtɪ
Alexandria	ˌælɪɡˈzɑːndrɪə
recipes	ˈresəpɪz
costumes	ˈkɒstjuːmz
Wow	waʊ
refined	rɪˈfaɪnd
Rural	ˈrʊər(ə)l
float	fləʊt
Engineers	ˌendʒɪˈnɪəz
Johnston	ˈdʒɑːnstən
threatens	ˈθret(ə)nz
magical	ˈmædʒɪk(ə)l
Drake	dreɪk
Quinn	kwɪn
hazard	ˈhæzəd
situated	ˈsɪtʃʊeɪtɪd
undertake	ˌʌndəˈteɪk
patrons	ˈpeɪtrənz
spinning	ˈspɪnɪŋ
periodic	ˌpɪərɪˈɒdɪk
retire	rɪˈtaɪə
Religious	rɪˈlɪdʒəs
ninth	naɪnθ
pursuit	pəˈsjuːt
unconscious	ʌnˈkɒnʃəs
Need	niːd
suburb	ˈsʌbɜːb
Hinduism	ˈhɪnduːɪz(ə)m
Jacques	ʒɑːk
spill	spɪl
Okay	ˌəʊˈkeɪ
Drama	ˈdrɑːmə
Milton	ˈmɪltən
moisture	ˈmɔɪstʃə
worrying	ˈwʌrɪɪŋ
compromised	ˈkɒmprəmaɪzd
phrasing	ˈfreɪzɪŋ
jointly	ˈdʒɔɪntlɪ
rope	rəʊp
Text	tekst
Martinez	mɑːˈtiːnez
Elliott	ˈeljət
scanning	ˈskænɪŋ
slipped	slɪpt
interpreting	ɪnˈtɜːprɪtɪŋ
pm	ˌpiːˈem
midnight	ˈmɪdnaɪt
Torres	ˈtɒˌrez
Libraries	ˈlaɪbrərɪz
Knights	naɪts
correspondent	ˌkɒrɪˈspɒnd(ə)nt
Fernando	fəˈnændəʊ
ate	eɪt
Bruno	ˈbruːnəʊ
accelerated	əkˈseləreɪtɪd
compulsory	kəmˈpʌls(ə)rɪ
Nicole	nɪˈkɒl
Kirk	kɜːk
rides	raɪdz
formulation	ˌfɔːmjʊˈleɪʃ(ə)n
overlooked	ˌəʊvəˈlʊkt
Bangkok	ˌbæŋˈkɒk
infamous	ˈɪnfəməs
rigorous	ˈrɪɡ(ə)rəs
decreasing	dɪˈkriːsɪŋ
Hussein	huːˈseɪn
Minneapolis	ˌmɪnɪˈæpəlɪs
sorts	sɔːts
sculptures	ˈskʌlptʃəz
Potter	ˈpɒtə
registry	ˈredʒɪstrɪ
ISO	ˈiːsəʊ
sequel	ˈsiːkw(ə)l
stretched	stretʃt
fellowship	ˈfeləʊʃɪp
expose	ɪkˈspəʊz
swept	swept
battalion	bəˈtæljən
instrumental	ˌɪnstrʊˈment(ə)l
internally	ɪnˈtɜːn(ə)lɪ
Nadal	ˈnəd(ə)l
Female	ˈfiːmeɪl
salmon	ˈsæmən
occupy	ˈɒkjʊpaɪ
Honduras	hɒnˈdjʊərəs
attachment	əˈtætʃmənt
cellular	ˈseljʊlə
indictment	ɪnˈdaɪtmənt
Leave	liːv
decisive	dɪˈsaɪsɪv
illnesses	ˈɪlnəsɪz
communicating	kəˈmjuːnɪkeɪtɪŋ
Nigerian	naɪˈdʒɪərɪən
Rwanda	rʊˈændə
accountable	əˈkaʊntəb(ə)l
delight	dɪˈlaɪt
switches	ˈswɪtʃɪz
compression	kəmˈpreʃ(ə)n
induced	ɪnˈdjuːst
Cricket	ˈkrɪkɪt
ink	ɪŋk
Shane	ʃeɪn
civility	sɪˈvɪlɪtɪ
unhappy	ʌnˈhæpɪ
Nuclear	ˈnjuːklɪə
privileged	ˈprɪvəlɪdʒd
similarity	ˌsɪməˈlærɪtɪ
underway	ˌʌndəˈweɪ
pork	pɔːk
punctuation	ˌpʌŋktʃʊˈeɪʃ(ə)n
Sanchez	ˈsæntʃez
patches	ˈpætʃɪz
tortured	ˈtɔːtʃəd
Lanka	ˈlæŋkə
Sultan	ˈsʌlt(ə)n
Jo	dʒəʊ
evidently	ˈevɪd(ə)ntlɪ
tubes	tjuːbz
specially	ˈspeʃəlɪ
marker	ˈmɑːkə
incompetent	ɪnˈkɒmpɪt(ə)nt
consolidated	kənˈsɒlɪdeɪtɪd
Newport	ˈnjuːpɔːt
bull	bʊl
Contemporary	kənˈtemp(ə)r(ə)rɪ
Made	meɪd
lengths	leŋθs
realm	relm
Ages	ˈeɪdʒɪz
Kabul	ˈkɑːbʊl
turmoil	ˈtɜːmɔɪl
GB	ˌdʒiːˈbiː
teenage	ˈtiːneɪdʒ
distances	ˈdɪstənsɪz
Below	bɪˈləʊ
Jenny	ˈdʒenɪ
Michel	ˌmɪˈʃel
Sounds	saʊndz
derivatives	dɪˈrɪvətɪvz
premise	ˈpremɪs
philosophers	fɪˈlɒsəfəz
meditation	ˌmedɪˈteɪʃ(ə)n
rental	ˈrent(ə)l
apple	ˈæp(ə)l
exhausted	ɪɡˈzɔːstɪd
inspiring	ɪnˈspaɪərɪŋ
Administrator	ədˈmɪnɪstreɪtə
relay	rɪˈleɪ
voyage	ˈvɔɪɪdʒ
reminded	rɪˈmaɪndɪd
vanity	ˈvænɪtɪ
Career	kəˈrɪə
constituents	kənˈstɪtjʊənts
freed	friːd
duck	dʌk
Aviation	ˌeɪvɪˈeɪʃ(ə)n
Fletcher	ˈfletʃə
sensation	senˈseɪʃ(ə)n
senses	ˈsensɪz
Dorothy	ˈdɒrəθɪ
Hero	ˈhɪərəʊ
Already	ɔːlˈredɪ
diplomats	ˈdɪpləmæts
Gingrich	ˈɡɪŋɡrɪtʃ
HTTP	ˌetʃtɪtɪˈpiː
Frankfurt	ˈfrænkfət
pathway	ˈpɑːθweɪ
Regards	rɪˈɡɑːdz
Ban	bæn
Golf	ɡɒlf
disrupt	dɪsˈrʌpt
foolish	ˈfuːlɪʃ
Marco	ˈmɑːkəʊ
viewpoints	ˈvjuːpɔɪnts
solidarity	ˌsɒlɪˈdærɪtɪ
Marion	ˈmærɪən
Removing	rɪˈmuːvɪŋ
Eye	aɪ
Flag	flæɡ
feat	fiːt
undermine	ˌʌndəˈmaɪn
paperwork	ˈpeɪpəwɜːk
Ruby	ˈruːbɪ
dissolved	dɪˈzɒlvd
scratch	skrætʃ
correcting	kəˈrektɪŋ
chasing	ˈtʃeɪsɪŋ
Rico	ˈriːkəʊ
arc	ɑːk
researched	rɪˈsɜːtʃt
Kurt	kɜːt
Aboriginal	ˌæbəˈrɪdʒ(ə)nəl
upgraded	ˌʌpˈɡreɪdɪd
weekends	wiːkˈendz
Few	fjuː
prefix	ˌpriːˈfɪks
compositions	ˌkɒmpəˈzɪʃ(ə)nz
abandon	əˈbændən
NZ	nz
Isis	ˈɪsəs
Relations	rɪˈleɪʃ(ə)nz
Hugo	ˈhjuːɡəʊ
shuttle	ˈʃʌt(ə)l
cartoons	kɑːˈtuːnz
alignment	əˈlaɪnmənt
immense	ɪˈmens
capitalist	ˈkæpɪt(ə)lɪst
aggressively	əˈɡresɪvlɪ
apartheid	əˈpɑːtheɪt
une	juːn
cyclists	ˈsaɪklɪsts
PBS	pbs
accomplish	əˈkʌmplɪʃ
aspirations	ˌæspəˈreɪʃ(ə)nz
invaded	ɪnˈveɪdɪd
harbour	ˈhɑːbə
Firefox	ˈfaɪəˌfɑːks
newcomers	ˈnjuːkʌməz
raids	reɪdz
logos	ˈləʊɡəʊz
Legislature	ˈledʒɪsleɪtʃə
installing	ɪnˈstɔːlɪŋ
mankind	ˌmænˈkaɪnd
Maya	ˈmaɪə
payroll	ˈpeɪrəʊl
Cable	ˈkeɪb(ə)l
nightmare	ˈnaɪtmeə
anthropology	ˌænθrəˈpɒlədʒɪ
Gate	ɡeɪt
Comics	ˈkɒmɪks
EC	ˌiːˈsiː
topped	tɒpt
lowering	ˈlaʊ(ə)rɪŋ
fuck	fʌk
tunnels	ˈtʌn(ə)lz
poses	ˈpəʊzɪz
trolls	trəʊlz
plague	pleɪɡ
inquiries	ɪnˈkwaɪərɪz
immunity	ɪˈmjuːnɪtɪ
beta	ˈbiːtə
explores	ɪkˈsplɔːz
Creative	kriːˈeɪtɪv
Direct	dɪˈrekt
gently	ˈdʒentlɪ
Musical	ˈmjuːzɪk(ə)l
natives	ˈneɪtɪvz
faults	fɔːlts
automobile	ˈɔːtəməʊˌbiːl
foul	faʊl
omitted	əˈmɪtɪd
sexually	ˈsekʃʊəlɪ
riot	ˈraɪət
Ukrainians	juːˈkreɪnɪənz
Norwich	ˈnɒrɪtʃ
consisting	kənˈsɪstɪŋ
canceled	ˈkænsəld
tales	teɪlz
dive	daɪv
rounded	ˈraʊndɪd
beloved	bɪˈlʌvɪd
Ferdinand	ˈfɜːdəˌnænd
membrane	ˈmembreɪn
computation	ˌkɒmpjʊˈteɪʃ(ə)n
Lastly	ˈlɑːstlɪ
thirteen	ˌθɜːˈtiːn
wash	wɒʃ
compatible	kəmˈpætəb(ə)l
exile	ˈeksaɪl
hopeful	ˈhəʊpfəl
flame	fleɪm
weaknesses	ˈwiːknəsɪz
wit	wɪt
offline	ˈɒflaɪn
secrecy	ˈsiːkrəsɪ
absorbed	əbˈzɔːbd
Walk	wɔːk
Hand	hænd
habitats	ˈhæbɪtæts
Solutions	səˈluːʃ(ə)nz
trainers	ˈtreɪnəz
Pink	pɪŋk
simplicity	sɪmˈplɪsɪtɪ
knocked	nɒkt
adverse	ˈædvɜːs
Popular	ˈpɒpjʊlə
successive	s(ə)kˈsesɪv
recovering	rɪˈkʌvərɪŋ
markers	ˈmɑːkəz
Fellowship	ˈfeləʊʃɪp
intimate	ˈɪntɪmeɪt
teammates	ˈtiːmmeɪts
Felix	ˈfiːlɪks
amusing	əˈmjuːzɪŋ
Trophy	ˈtrəʊfɪ
shootings	ˈʃuːtɪŋz
Abdullah	ˌæbˈdələ
concessions	kənˈseʃ(ə)nz
align	əˈlaɪn
stepped	stept
Application	ˌæplɪˈkeɪʃ(ə)n
educate	ˈedʒʊkeɪt
shutdown	ˈʃʌtdaʊn
lender	ˈlendə
leaked	liːkt
Fiji	ˌfiːˈdʒiː
defects	dɪˈfekts
Allied	ˈælaɪd
dominance	ˈdɒmɪnəns
turnover	ˈtɜːnəʊvə
Prison	ˈprɪz(ə)n
Episode	ˈepɪsəʊd
dean	diːn
exotic	ɪɡˈzɒtɪk
ineffective	ˌɪnɪˈfektɪv
Elvis	ˈelˌvɪs
nominator	ˈnɒmɪneɪtə
policymakers	ˈpɑːləsɪˌmeɪkəz
prolonged	prəˈlɒŋd
pledged	pledʒd
Climate	ˈklaɪmət
Traditional	trəˈdɪʃ(ə)nəl
shark	ʃɑːk
breakthrough	ˈbreɪkθruː
Evil	ˈiːv(ə)l
climbed	klaɪmd
Wu	wʊ
crises	ˈkraɪsiːz
adolescents	ˌædəˈlesnts
drones	drəʊnz
minimize	ˈmɪnɪmaɪz
Tasmania	tæzˈmeɪnɪə
sanctuary	ˈsæŋktʃʊərɪ
encounters	ɪnˈkaʊntəz
seller	ˈselə
crowded	ˈkraʊdɪd
inactive	ɪnˈæktɪv
cute	kjuːt
drone	drəʊn
plagiarism	ˈpleɪdʒɪərɪzəm
separating	ˈsepəreɪtɪŋ
pseudoscience	ˌsuːdɒˈsaɪəns
afterward	ˈɑːftəwəd
pirates	ˈpaɪrəts
decree	dɪˈkriː
crushed	krʌʃt
pie	paɪ
recreational	ˌrekrɪˈeɪʃnəl
Sophie	ˈsəʊfɪ
dental	ˈdent(ə)l
delicate	ˈdelɪkət
neurons	ˈnjʊərɒnz
permitting	pəˈmɪtɪŋ
CT	kɔːt
retiring	rɪˈtaɪərɪŋ
bush	bʊʃ
voiced	vɔɪst
overlaps	ˌəʊvəˈlæps
Boyd	bɔɪd
volcano	vɒlˈkeɪnəʊ
developmental	dɪˌveləpˈment(ə)l
Additionally	əˈdɪʃ(ə)nəlɪ
takeover	ˈteɪkəʊvə
sparked	spɑːkt
experimenting	ɪkˈsperɪməntɪŋ
tent	tent
rap	ræp
Maxwell	ˈmækˌswel
Diane	daɪˈæn
cautious	ˈkɔːʃəs
Canterbury	ˈkæntəb(ə)rɪ
starter	ˈstɑːtə
flooded	ˈflʌdɪd
Morning	ˈmɔːnɪŋ
underwater	ˈʌndəwɔːtə
clearance	ˈklɪər(ə)ns
warehouse	ˈweəhaʊs
Charleston	ˈtʃɑːlstən
Il	ɪl
Mohamed	mɒˈhɑːmed
divorced	dɪˈvɔːst
confirming	kənˈfɜːmɪŋ
colorful	ˈkəlɔːfəl
weighing	ˈweɪɪŋ
lightly	ˈlaɪtlɪ
disastrous	dɪˈzɑːstrəs
coordinating	ˌkəʊˈɔːdɪneɪtɪŋ
calories	ˈkælərɪz
Confederate	kənˈfedəreɪt
protections	prəˈtekʃ(ə)nz
damn	dæm
diminished	dɪˈmɪnɪʃt
battling	ˈbæt(ə)lɪŋ
mount	maʊnt
CC	ˌsiːˈsiː
inviting	ɪnˈvaɪtɪŋ
swap	swɒp
Consumer	kənˈsjuːmə
sacked	sækt
Population	ˌpɒpjʊˈleɪʃ(ə)n
dismiss	dɪzˈmɪs
cement	sɪˈment
Rodgers	ˈrɑːdʒəz
sounded	ˈsaʊndɪd
puppet	ˈpʌpɪt
elimination	ɪˌlɪmɪˈneɪʃ(ə)n
Shannon	ˈʃænən
Lauren	ˈlɔːrən
quicker	ˈkwɪkə
pitched	pɪtʃt
backward	ˈbækwəd
sailors	ˈseɪləz
preparations	ˌprepəˈreɪʃ(ə)nz
satisfactory	ˌsætɪsˈfækt(ə)rɪ
Comments	ˈkɒments
publishes	ˈpʌblɪʃɪz
trim	trɪm
diagnosed	ˈdaɪəɡnəʊzd
remotely	rɪˈməʊtlɪ
basket	ˈbɑːskɪt
AI	aɪ
transcript	ˈtrænskrɪpt
burns	bɜːnz
abolished	əˈbɒlɪʃt
frequencies	ˈfriːkwənsɪz
Winner	ˈwɪnə
CDs	ˈsiːˈdiːz
consolidation	kənˌsɒlɪˈdeɪʃ(ə)n
estates	ɪˈsteɪts
Gardner	ˈɡɑːdnə
ne	niː
demo	ˈdeməʊ
learners	ˈlɜːnəz
Monroe	mənˈrəʊ
Dundee	dʌnˈdiː
dressing	ˈdresɪŋ
enforcing	ɪnˈfɔːsɪŋ
stamps	stæmps
miserable	ˈmɪzrəb(ə)l
Miguel	mɪˈɡel
inferior	ɪnˈfɪərɪə
progression	prəˈɡreʃ(ə)n
prohibition	ˌprəʊ(h)ɪˈbɪʃ(ə)n
Hard	hɑːd
Monaco	ˈmɒnəkəʊ
Mali	ˈmɑːlɪ
Halloween	ˌhæləˈwiːn
Grove	ɡrəʊv
contradictory	ˌkɒntrəˈdɪkt(ə)rɪ
neighbouring	ˈneɪb(ə)rɪŋ
shade	ʃeɪd
allowance	əˈlaʊəns
bots	bəʊz
Level	ˈlev(ə)l
swim	swɪm
jets	dʒets
sa	sɑː
alphabet	ˈælfəbet
genome	ˈdʒiːnəʊm
autobiography	ˌɔːtəʊbaɪˈɒɡrəfɪ
lightning	ˈlaɪt(ə)nɪŋ
Extension	ɪkˈstenʃ(ə)n
youths	juːðz
representations	ˌreprɪzenˈteɪʃ(ə)nz
occurrence	əˈkʌr(ə)ns
exploited	ɪkˈsplɔɪtɪd
pants	pænts
hacking	ˈhækɪŋ
Moreover	mɔː(r)ˈəʊvə
spark	spɑːk
debating	dɪˈbeɪtɪŋ
Plymouth	ˈplɪməθ
BS	biːz
demolished	dɪˈmɒlɪʃt
Filipino	ˌfɪlɪˈpiːnəʊ
Katherine	ˈkæθrɪn
bowling	ˈbəʊlɪŋ
Drug	drʌɡ
distributions	ˌdɪstrɪˈbjuːʃ(ə)nz
Investment	ɪnˈvestmənt
cuisine	kwɪˈziːn
trustees	trʌsˈtiːz
Contributions	ˌkɒntrɪˈbjuːʃ(ə)nz
runner	ˈrʌnə
monuments	ˈmɒnjʊmənts
Rhodes	rɒdz
Speedy	ˈspiːdɪ
Katrina	kəˈtriːnə
ghost	ɡəʊst
Chan	tʃɑːn
utter	ˈʌtə
Chambers	ˈtʃeɪmbəz
Researchers	rɪˈsɜːtʃəz
Ernest	ˈɜːnɪst
UPI	ˈuːpɪ
curves	kɜːvz
tens	tenz
proclaimed	prəˈkleɪmd
HR	
digging	ˈdɪɡɪŋ
relates	rɪˈleɪts
Santos	ˈsæntɒs
AFP	əfp
quarterly	ˈkwɔːtəlɪ
comeback	ˈkʌmbæk
dans	dɑːnz
Nokia	ˈnɒkɪə
critically	ˈkrɪtɪk(ə)lɪ
rid	rɪd
Along	əˈlɒŋ
precipitation	prɪˌsɪpɪˈteɪʃ(ə)n
rejecting	rɪˈdʒektɪŋ
dictator	dɪkˈteɪtə
Issues	ˈɪʃuːz
Individual	ˌɪndɪˈvɪdʒʊəl
maths	mæθs
